name,importance
预计,0.02480682462020786
产品,0.020913127774927032
提升,0.01746948863196193
我们,0.017122512917584685
pe,0.016348029926301823
预期,0.016312789717791897
目前,0.015756128091480092
公告,0.014764334917472652
行业,0.014370786967200804
主要,0.014001464218133404
风险,0.013485229810184423
进一步,0.013353446945726844
盈利,0.01329810388016084
公司,0.013144450094698059
业务,0.011702540100274144
对应,0.011555770211562167
国内,0.011505624880672981
提示,0.010521179603194432
维持,0.010451419047814135
评级,0.010372573265939518
项目,0.010193248713630096
投资,0.009872139904581132
eps,0.00971440765849307
收入,0.008714112524401667
增长,0.008517686807251353
中性,0.008222966806769457
规模,0.007649865648873672
市场,0.007417752972619778
净利润,0.007258260574437755
归母,0.007143180546294001
优势,0.007068416561654879
关于,0.006992536923681487
领域,0.0069913028134917145
给予,0.006941329435676058
产能,0.006837224362412903
价格,0.006758220457484239
预测,0.0064590787767258495
辞职,0.006076955519867962
利润,0.005919509803671393
未来,0.005619467232734099
增持,0.00546687272297127
发展,0.0054401207532255415
同比,0.005244437684397236
拓展,0.005212046348879799
亿元,0.005193051619904965
增加,0.004988873713749337
股东,0.00489707462935853
快速,0.004840584340595808
分别,0.00478028628399919
估值,0.0047603984723852836
股权,0.00475964201280194
明显,0.004736943697809642
有望,0.004717200643970424
事件,0.004712213207400652
当前,0.004692343959353609
完成,0.004579362627835183
营业,0.00456466552921406
达到,0.004416526122182315
核心,0.004325125683395409
根据,0.004278024561514724
增速,0.004259063182252957
首次,0.004257631490734322
减持,0.004228316222262346
水平,0.004173184449331153
股份,0.0040703565000053555
带来,0.004004943213165026
企业,0.003997496725973612
逐步,0.0039955155356381986
布局,0.003900016985453358
能力,0.0038710776012721203
保持,0.0038299573059963543
营收,0.003754114827237271
研发,0.0036818313777095095
竞争,0.003611851017420611
扩张,0.0036006520828866656
通过,0.0035689102582469397
超过,0.003446256940105302
成本,0.0033315621648221127
我国,0.003312245796490587
政策,0.003299817055080044
符合,0.003284074556847978
实现,0.003281048830294864
三季度,0.0031719350604498125
认为,0.0031168550555530582
持续,0.0030543793811027885
全球,0.002963493083136469
毛利率,0.002941040890460744
影响,0.0029182923623225446
收购,0.0028976459184538754
成长,0.002797591798634504
整体,0.0027165968551162894
提供,0.0026727774275266437
每股,0.0026676203842608513
渠道,0.0026409108199673516
战略,0.0026023914782691755
进入,0.002596859826055144
空间,0.002588994382596079
看好,0.0025753974415102143
开始,0.0025688791472426396
平台,0.00253138101778963
生产,0.002417819253114165
上市公司,0.002386846377279374
销售,0.0023300662366703313
新增,0.002309331634601075
基础,0.002282077974543791
海外,0.002255060117990639
发布,0.002222720761519684
合作,0.0022171306250480865
成为,0.0022140079272028484
原材料,0.0022135937766544415
管理,0.002210322718687568
不断,0.00214862692707173
相关,0.002091370454249064
低于,0.0020764368555043367
应用,0.0020644504721446656
拥有,0.002042451914315127
收益,0.0020242225211116217
已经,0.001944890739545182
技术,0.0019387766517872276
客户,0.0019317065527418545
股价,0.0019254837827178655
资产,0.001916382399283115
推动,0.0018991649009826612
季度,0.001879561808749899
覆盖,0.0018775949311500343
积极,0.0018314349725376358
点评,0.0018310119776938872
公司业绩,0.0017716950419307492
上半年,0.0017605404963720614
经营,0.0017486834498135035
考虑,0.0017380385111380183
制造,0.001722367599416004
获得,0.0017090950754663182
大幅,0.001697487743231274
随着,0.0016609563119142703
建设,0.0016363331274023918
建议,0.0015764988136434915
传统,0.0015666294015275852
进度,0.001563993180047859
买入,0.001560671956667204
板块,0.0015550182650636401
目标价,0.0015273467865486007
推进,0.0015196022295513897
波动,0.0015194333802596419
释放,0.0015144719874215118
此次,0.0015026967589422905
中国,0.0014918991434335468
继续,0.0014886230716382018
数据,0.0014346971603792424
因素,0.0014344616679962505
快速增长,0.0014148906138794156
龙头,0.0013959758214777463
下降,0.0013890487620610522
厂商,0.0013596725403061444
不达,0.0013285758754275952
合计,0.0013110952391484976
上市,0.001311087766111797
趋势,0.001309843300539852
加速,0.0013002962312347113
并购,0.0013002071380283087
环比,0.001298356852692066
作为,0.0012930705124942637
优质,0.0012909176723034906
贡献,0.0012856944718094726
调整,0.0012730792810520225
改善,0.0012607737998896473
投产,0.0012572773253556899
年度,0.00125676212295228
居民消费,0.0012514028981031695
万元,0.0012475785073252823
上涨,0.0012207525135849568
下游,0.0012029364603822466
销量,0.0011971238374351748
汽车,0.001181405757332241
推荐,0.0011548217444813085
归属于,0.0011536878367305204
以上,0.0011427855407069433
龙头企业,0.0011403147370088727
最大,0.0011331578648847165
运营,0.0011187527031783042
品牌,0.001102497538826034
费用率,0.0010972036200679253
替代,0.0010893214111135805
显著,0.0010828997237875765
地位,0.001059710538964723
长期,0.001044706854118199
原因,0.0010398876049879599
得到,0.0010271713114399206
高端,0.0010115275634354642
升级,0.001011449743258604
受益,0.0010058481801692078
同时,0.0009955251783608596
模式,0.0009860125917787793
城市,0.0009665414831814694
提高,0.0009662291407580957
背景,0.0009606024024036718
有效,0.0009467373937865188
竞争力,0.0009406337295860644
拆分,0.0009258262803950962
方面,0.0009086980852691165
上升,0.000904721866292229
加快,0.0009014311942989187
集团,0.0008966396098132386
弹性,0.0008726801993092107
折合,0.0008719099411898712
阶段,0.0008693574108551942
计算,0.0008442139203903101
万吨,0.0008092220603508414
智能,0.0008037808610810059
广阔,0.0008014002733460013
减少,0.0007964673795987857
主业,0.0007892990260335836
产业链,0.0007889856471361912
子公司,0.0007841685529256115
扩产,0.0007831594481629172
宏观经济,0.0007811490469720631
驱动,0.0007750752623566984
百分点,0.0007708388270296068
