name,importance
买入,0.05306874974845033
中性,0.028459325683893373
收入,0.014834048029544687
毛利率,0.01417812912260695
同比,0.013132609065307676
对应,0.010716259124216379
风险,0.009472882961185683
公司,0.009058682664589387
评级,0.00885509240412591
下降,0.008594146103974642
实现,0.008096850299990398
上升,0.007830334041898215
营业,0.007750691673384607
rmb,0.0076302359538436984
有望,0.007454210993050896
主要,0.006853971586933461
eps,0.0068430830719944215
公布,0.006635534144545899
财务,0.006409095521024879
上年,0.006329139730369555
减少,0.006198563833185601
龙头,0.006090881273359767
亏损,0.006020286389026534
净利润,0.005970938213804602
持续,0.005968168755601327
上半年,0.0057403786279594015
预计,0.005704008589970368
维持,0.0056442088218407885
百分点,0.00533162458608219
亿元,0.005308643531605059
母公司,0.0052969077399670945
不及,0.005293964085548439
提示,0.00510168549059551
扣非,0.004930553074032488
资产,0.004838481492131855
下滑,0.004679992961697363
pe,0.004313524180045943
期内,0.0042370946447052495
分别,0.0041670390631226295
建议,0.00415004994389158
事件,0.004139778511062903
随着,0.004127070766006284
宏观经济,0.004081287188525177
股东,0.004004685480618844
由于,0.004001201243182879
归属于,0.003999649839629091
国内,0.0039836816039259485
归母,0.00382429997995154
空间,0.0037385224704607907
我们,0.00367845670808849
低迷,0.0036653322009902994
yy,0.0036502998935452036
原因,0.0034905932301759935
显著,0.0034351561359310763
领域,0.003426627268077721
综合,0.003360904037134064
万元,0.0032990547303524465
预期,0.003228404445141511
降低,0.0032087455094943233
经营,0.0029359231684805147
产品,0.0029231002551167434
费用率,0.002878798082847866
折合,0.0028734294359736316
进入,0.0028681272128071823
日晚,0.002838609518021862
进一步,0.002811490262518639
加速,0.0028093337968746147
业务,0.00279666667096565
数据,0.002773034027303161
下调,0.002762532516894343
技术,0.0027217505998539606
投资,0.0027129626384062937
所致,0.0026755080957983402
增长,0.0026708456761184184
期间,0.0026610953501208
年报,0.002646012693136297
行业,0.0026192873022773517
进度,0.0026133657500762735
去年同期,0.0025815036048272024
保持,0.002546254651024926
季度,0.0024172887212229573
逐步,0.0024131899102163403
预测,0.0023958486014649407
目标价,0.0023915554291613055
价格,0.002371443737711519
较大,0.0023567457891513458
营收,0.002298708094332854
目前,0.0022849338494750206
影响,0.00227966363147009
市场,0.0022160527467171343
环比,0.0021490803537421855
布局,0.002140487525678209
提升,0.0021402474721077067
同时,0.002096478044847823
给予,0.0020907944831907556
发展,0.0020359682564472666
改善,0.00203509084237665
通过,0.0020284505150470807
管理,0.001989380658672247
上海,0.0019611781895347573
fye,0.001954396711886625
估值,0.0019450774812585809
第一,0.0019215708856513247
有所,0.0018210201824610268
已经,0.0018102481395101263
优势,0.0018090892300951223
短期,0.0018047274020522098
能力,0.0017999301460148625
根据,0.0017454370495149322
项目,0.0017204576810142804
增加,0.0016876955676700706
受益,0.0016800732995316753
未达,0.0016613201183929458
公告,0.001618209424078052
导致,0.001604917321266387
中报,0.0015964624271289796
费用,0.0015878813341767687
需求,0.0015830962504604315
扭亏,0.001578509789238848
平台,0.0015750435261941797
不达,0.0015669130752209736
考虑,0.0015517808833183657
销售费用,0.0015499680998141585
业态,0.001545589900508329
比重,0.001539452694849957
观点,0.001521061234972815
快速,0.0015158533155540954
净利,0.0015157067213699138
降幅,0.001515509478671974
进行,0.0014898019898721409
每股,0.0014732009065186876
全球,0.001467992985487408
压力,0.0014642505245126985
季报,0.0014597296759781314
盈利,0.0014547074684672504
去年,0.0014505514719963647
强烈推荐,0.0014480430878146217
规模,0.0014382353101267994
终端,0.0014341441058961621
业绩,0.001433762677935251
交易,0.0014271564459818792
整合,0.001426920615903255
科技,0.0014251752170064565
海外,0.0014232475798631706
投入,0.001422227682850338
以上,0.001421559943155035
同期,0.0014106028592078864
趋势,0.0014095556615644357
大幅,0.0014077000175539882
要点,0.0013972452831967296
带来,0.0013971822030721718
asp,0.0013968135956256636
拖累,0.0013886711803517842
低于,0.001384939362467372
持平,0.0013720836280219349
具备,0.001370958406638992
成长,0.0013583573049124897
符合,0.0013581202969998965
看好,0.0013374857446267537
成为,0.001332141997888228
一季度,0.0013192883274604542
负债,0.0013167410414962589
股份,0.0013132325416359899
未来,0.0012897689382672436
继续,0.001287728075038159
三季度,0.0012876040316868154
报告,0.001284798130412918
核心,0.001282418574477906
相对,0.0012685944957246014
